horizon_hours,points,mae,season
3,124200,15.666574478149414,DJF
3,135424,10.224525451660156,MAM
3,135424,6.750383377075195,JJA
3,133952,9.122385025024414,SON
6,124200,20.65104866027832,DJF
6,135424,13.264691352844238,MAM
6,135424,8.772829055786133,JJA
6,133952,12.023765563964844,SON
12,124200,23.40648078918457,DJF
12,135424,15.231313705444336,MAM
12,135424,10.143277168273926,JJA
12,133952,13.75268268585205,SON
24,124200,25.079282760620117,DJF
24,135424,16.670059204101562,MAM
24,135424,10.779662132263184,JJA
24,133952,14.882538795471191,SON
36,124200,26.407917022705078,DJF
36,135424,17.454662322998047,MAM
36,135424,11.270776748657227,JJA
36,133952,15.614622116088867,SON
48,124200,26.719865798950195,DJF
48,135424,17.765056610107422,MAM
48,135424,11.430903434753418,JJA
48,133952,15.7491455078125,SON
72,124200,27.09623908996582,DJF
72,135424,18.273433685302734,MAM
72,135424,11.876107215881348,JJA
72,133952,15.840495109558105,SON
