horizon_hours,signal,mean_incremental_delta,std_incremental_delta,improving_seeds,mean_corrected_mae
3,boundary_layer_height,-0.01614602406819657,0.015481557612410022,2,9.602692286173502
3,dewpoint,0.0007591247558593334,0.002462812545033653,1,9.619597434997559
3,dewpoint_deficit,-0.006213188171386667,0.009187265518173428,3,9.612625122070312
3,neighbor_trend,-0.0924868336695799,0.023322699931829484,3,9.526351476572119
3,precipitation,0.0034529368082681666,0.0020355119548842665,0,9.622291247049967
3,regional_factor,0.0034971237182617,0.028350569346705146,1,9.622335433959961
3,spatial_innovation,-0.03542997594367787,0.03944919462125729,2,9.583408334298023
3,ventilation,-0.0109930038452148,0.007690934240823526,3,9.607845306396484
3,wind_aligned_innovation,-0.12571430206298825,0.05081784303138012,3,9.493124008178711
3,wind_lagged_innovation_3h,-0.1056270599365234,0.019844134671397777,3,9.513211250305176
3,wind_lagged_innovation_6h,-0.03250662485758463,0.006424684121113538,3,9.586331685384115
6,boundary_layer_height,-0.0092363357543945,0.011663513464064197,3,12.97287623087565
6,dewpoint,-0.004530906677246034,0.004981976008124854,3,12.977581659952799
6,dewpoint_deficit,-0.011010169982910134,0.020237837192165584,2,12.971102396647135
6,neighbor_trend,-0.010996102058809234,0.019971431603604706,2,12.971116464571237
6,precipitation,0.0018049875895182336,0.0021806772750764493,1,12.983917554219564
6,regional_factor,-0.024074554443359365,0.04243406993729401,2,12.958038012186686
6,spatial_innovation,-0.09794832587666306,0.05152053842466966,3,12.88416424075338
6,ventilation,-0.005416870117187466,0.00530860793026706,3,12.976695696512857
6,wind_aligned_innovation,-0.28110376993815095,0.06424559634750972,3,12.701008796691895
6,wind_lagged_innovation_3h,-0.12248770395914714,0.02275325586763997,3,12.859624862670898
6,wind_lagged_innovation_6h,-0.0434668858846028,0.009333174775788622,3,12.938645680745443
12,boundary_layer_height,-0.0273694992065429,0.011693530859777628,3,15.477388064066568
12,dewpoint,-0.010856628417968734,0.012725686890381982,2,15.493900934855143
12,dewpoint_deficit,-0.0296328862508138,0.03779677485076554,2,15.475124677022299
12,neighbor_trend,-0.05814880282407544,0.02343355553027842,3,15.446608760449037
12,precipitation,-0.003840128580729133,0.004605356996597899,3,15.500917434692383
12,regional_factor,-0.08988984425862627,0.04573508201294689,3,15.414867719014486
12,spatial_innovation,-0.12251548367737303,0.040980855299648435,3,15.38224207959574
12,ventilation,-0.013299306233723933,0.005488210531912335,3,15.491458257039389
12,wind_aligned_innovation,-0.29542287190755206,0.05026058094032025,3,15.20933469136556
12,wind_lagged_innovation_3h,-0.10822900136311847,0.020217795694152784,3,15.396528561909994
12,wind_lagged_innovation_6h,-0.03460725148518876,0.010411038235736107,3,15.470150311787924
24,boundary_layer_height,-0.0208168029785156,0.004554366729938228,3,17.2825870513916
24,dewpoint,-0.0065142313639323,0.008315148728694556,2,17.296889623006184
24,dewpoint_deficit,-0.027224222819010366,0.021704967261913653,3,17.276179631551106
24,neighbor_trend,-0.06785080739448661,0.0044621430824091654,3,17.235553046975628
24,precipitation,-0.004304250081380166,0.004453000354181406,3,17.299099604288738
24,regional_factor,-0.029165267944335865,0.02012125228164044,3,17.27423858642578
24,spatial_innovation,-0.017472640867681567,0.01395307721446851,3,17.285931213502437
