future_day,center_mae,routed_mae,oracle_station_day_mae,router_accuracy,center_class_prevalence,low_class_prevalence,high_class_prevalence,active_from_train_gate,n
1,15.947539329528809,15.975105699629093,12.528059959411621,0.5536919793334606,0.5506918148631966,0.2782893580177363,0.17101882711906702,True,4229915
2,21.173261642456055,21.24295432813031,14.362081527709961,0.43171175735531814,0.42620483920668617,0.3579534605866862,0.21584170020662757,True,4229923
3,23.123104095458984,24.347593649866205,14.741518020629883,0.3609574059825586,0.3807335373772853,0.36240550049057507,0.25686096213213955,True,4229936
