station_index,station,longitude,latitude,history_distance,future_distance,spearman_distance_rho
0,Beijing,116.39824999999998,40.045975000000006,past_72h,future_day1,0.2492340441014471
0,Beijing,116.39824999999998,40.045975000000006,past_72h,future_day3,0.017001737120277943
0,Beijing,116.39824999999998,40.045975000000006,past_72h,future_72h,0.11260904636944744
0,Beijing,116.39824999999998,40.045975000000006,past_recent_24h,future_day1,0.4096799580287933
0,Beijing,116.39824999999998,40.045975000000006,past_recent_24h,future_day3,0.05189029003044641
0,Beijing,116.39824999999998,40.045975000000006,past_recent_24h,future_72h,0.23058846031815367
1,Tianjin,117.32216666666666,39.07768333333333,past_72h,future_day1,0.24976904604304742
1,Tianjin,117.32216666666666,39.07768333333333,past_72h,future_day3,0.051116622834659654
1,Tianjin,117.32216666666666,39.07768333333333,past_72h,future_72h,0.15017619785219166
1,Tianjin,117.32216666666666,39.07768333333333,past_recent_24h,future_day1,0.4232614757218362
1,Tianjin,117.32216666666666,39.07768333333333,past_recent_24h,future_day3,0.07651847726695638
1,Tianjin,117.32216666666666,39.07768333333333,past_recent_24h,future_72h,0.2592869637259142
2,Shijiazhuang,114.49317142857144,38.033628571428565,past_72h,future_day1,0.2562226824036292
2,Shijiazhuang,114.49317142857144,38.033628571428565,past_72h,future_day3,0.034706378673020594
2,Shijiazhuang,114.49317142857144,38.033628571428565,past_72h,future_72h,0.15743690710990516
2,Shijiazhuang,114.49317142857144,38.033628571428565,past_recent_24h,future_day1,0.41641264569802333
2,Shijiazhuang,114.49317142857144,38.033628571428565,past_recent_24h,future_day3,0.03659565283130446
2,Shijiazhuang,114.49317142857144,38.033628571428565,past_recent_24h,future_72h,0.2310452299272368
3,Tangshan,118.18291666666666,39.64495333333334,past_72h,future_day1,0.25349208100673304
3,Tangshan,118.18291666666666,39.64495333333334,past_72h,future_day3,0.04492538523606164
3,Tangshan,118.18291666666666,39.64495333333334,past_72h,future_72h,0.1467685267789643
3,Tangshan,118.18291666666666,39.64495333333334,past_recent_24h,future_day1,0.4097851271976204
3,Tangshan,118.18291666666666,39.64495333333334,past_recent_24h,future_day3,0.08657589583614335
3,Tangshan,118.18291666666666,39.64495333333334,past_recent_24h,future_72h,0.26406253441000554
4,Qinhuangdao,119.606875,39.936249999999994,past_72h,future_day1,0.2075112616178019
4,Qinhuangdao,119.606875,39.936249999999994,past_72h,future_day3,0.007303691920590708
4,Qinhuangdao,119.606875,39.936249999999994,past_72h,future_72h,0.09025052912808466
4,Qinhuangdao,119.606875,39.936249999999994,past_recent_24h,future_day1,0.3844212572834012
4,Qinhuangdao,119.606875,39.936249999999994,past_recent_24h,future_day3,0.04322000563520091
4,Qinhuangdao,119.606875,39.936249999999994,past_recent_24h,future_72h,0.21348783627005383
5,Handan,114.51387499999998,36.607859999999995,past_72h,future_day1,0.22696648341863737
5,Handan,114.51387499999998,36.607859999999995,past_72h,future_day3,0.0346069518411123
5,Handan,114.51387499999998,36.607859999999995,past_72h,future_72h,0.12718122585299615
5,Handan,114.51387499999998,36.607859999999995,past_recent_24h,future_day1,0.37585784317725496
5,Handan,114.51387499999998,36.607859999999995,past_recent_24h,future_day3,0.025174822075971538
5,Handan,114.51387499999998,36.607859999999995,past_recent_24h,future_72h,0.18739014915042387
6,Baoding,115.4852,38.876266666666666,past_72h,future_day1,0.24423817642210827
6,Baoding,115.4852,38.876266666666666,past_72h,future_day3,0.04990990648158504
6,Baoding,115.4852,38.876266666666666,past_72h,future_72h,0.16908201770912287
6,Baoding,115.4852,38.876266666666666,past_recent_24h,future_day1,0.4075274395403904
6,Baoding,115.4852,38.876266666666666,past_recent_24h,future_day3,0.053126169652187145
6,Baoding,115.4852,38.876266666666666,past_recent_24h,future_72h,0.24904765891962546
7,Zhangjiakou,114.90084999999999,40.80275,past_72h,future_day1,0.23725636026501767
7,Zhangjiakou,114.90084999999999,40.80275,past_72h,future_day3,0.03773204878912781
7,Zhangjiakou,114.90084999999999,40.80275,past_72h,future_72h,0.13018202198112352
7,Zhangjiakou,114.90084999999999,40.80275,past_recent_24h,future_day1,0.42235256677641075
7,Zhangjiakou,114.90084999999999,40.80275,past_recent_24h,future_day3,0.04309550820728132
7,Zhangjiakou,114.90084999999999,40.80275,past_recent_24h,future_72h,0.22855081007212966
8,Chengde,117.92774,40.96416,past_72h,future_day1,0.2620849256455881
8,Chengde,117.92774,40.96416,past_72h,future_day3,0.008440756038520967
8,Chengde,117.92774,40.96416,past_72h,future_72h,0.12262357443577192
8,Chengde,117.92774,40.96416,past_recent_24h,future_day1,0.40938294703727157
8,Chengde,117.92774,40.96416,past_recent_24h,future_day3,0.055619617219138766
8,Chengde,117.92774,40.96416,past_recent_24h,future_72h,0.23124996032799366
9,Langfang,116.7151,39.52605,past_72h,future_day1,0.24330795700927316
9,Langfang,116.7151,39.52605,past_72h,future_day3,0.02690975585756094
9,Langfang,116.7151,39.52605,past_72h,future_72h,0.12698353033336487
9,Langfang,116.7151,39.52605,past_recent_24h,future_day1,0.4204570480091277
9,Langfang,116.7151,39.52605,past_recent_24h,future_day3,0.05883102048496328
9,Langfang,116.7151,39.52605,past_recent_24h,future_72h,0.24371934856309582
10,Cangzhou,116.87156666666668,38.31576666666667,past_72h,future_day1,0.23627534686005552
10,Cangzhou,116.87156666666668,38.31576666666667,past_72h,future_day3,0.056135082773613246
10,Cangzhou,116.87156666666668,38.31576666666667,past_72h,future_72h,0.13746105572176892
10,Cangzhou,116.87156666666668,38.31576666666667,past_recent_24h,future_day1,0.39294563163930113
