horizon_hours,signal,alpha,base_mae,corrected_mae,delta_mae,baseline_probe_mae,incremental_delta_vs_baseline_probe
3,baseline_current_pm+prediction,100.0,9.540740966796875,9.613085746765137,0.07234477996826172,,
3,spatial_innovation,100.0,9.540740966796875,9.626957798323456,0.08621683152658122,9.613085746765137,0.013872051558319498
3,neighbor_trend,100.0,9.540740966796875,9.552714434600315,0.011973467803439775,9.613085746765137,-0.060371312164821944
3,regional_factor,100.0,9.540740966796875,9.620254516601562,0.0795135498046875,9.613085746765137,0.007168769836425781
3,wind_aligned_innovation,0.01,9.540740966796875,9.634049415588379,0.0933084487915039,9.613085746765137,0.020963668823242188
3,wind_lagged_innovation_3h,100.0,9.540740966796875,9.578401565551758,0.03766059875488281,9.613085746765137,-0.034684181213378906
3,wind_lagged_innovation_6h,100.0,9.540740966796875,9.608540534973145,0.06779956817626953,9.613085746765137,-0.0045452117919921875
3,dewpoint,100.0,9.540740966796875,9.613005638122559,0.0722646713256836,9.613085746765137,-8.0108642578125e-05
3,precipitation,100.0,9.540740966796875,9.611226081848145,0.07048511505126953,9.613085746765137,-0.0018596649169921875
3,boundary_layer_height,100.0,9.540740966796875,9.602490425109863,0.06174945831298828,9.613085746765137,-0.010595321655273438
3,ventilation,100.0,9.540740966796875,9.597050666809082,0.05630970001220703,9.613085746765137,-0.016035079956054688
3,dewpoint_deficit,100.0,9.540740966796875,9.6226167678833,0.08187580108642578,9.613085746765137,0.009531021118164062
6,baseline_current_pm+prediction,100.0,12.566766738891602,12.6371431350708,0.07037639617919922,,
6,spatial_innovation,100.0,12.566766738891602,12.643184548349362,0.07641780945776055,12.6371431350708,0.006041413278561336
6,neighbor_trend,100.0,12.566766738891602,12.654786238877056,0.08801949998545489,12.6371431350708,0.017643103806255667
6,regional_factor,100.0,12.566766738891602,12.637398719787598,0.0706319808959961,12.6371431350708,0.000255584716796875
