station_index,station,history_type,history_span,future_type,future_horizon,spearman_distance_rho
1,Tianjin,weather_only,full72,pm,day1,-0.023997700499425123
1,Tianjin,weather_only,full72,weather,day1,0.2616001524000381
1,Tianjin,weather_only,full72,joint,day1,0.23426185956546489
1,Tianjin,weather_only,full72,pm,day3,-0.04587790296947574
1,Tianjin,weather_only,full72,weather,day3,0.06437259709314928
1,Tianjin,weather_only,full72,joint,day3,0.0456553584138396
1,Tianjin,weather_only,full72,pm,full72,-0.09091255672813918
1,Tianjin,weather_only,full72,weather,full72,0.16208593652148412
1,Tianjin,weather_only,full72,joint,full72,0.1321438020359505
1,Tianjin,joint,full72,pm,day1,0.02818897904724476
1,Tianjin,joint,full72,weather,day1,0.25054999163749786
1,Tianjin,joint,full72,joint,day1,0.2382420265605066
1,Tianjin,joint,full72,pm,day3,-0.020880128220032056
1,Tianjin,joint,full72,weather,day3,0.0491943107985777
1,Tianjin,joint,full72,joint,day3,0.03820152355038088
1,Tianjin,joint,full72,pm,full72,-0.03665803966450992
1,Tianjin,joint,full72,weather,full72,0.14526093181523295
1,Tianjin,joint,full72,joint,full72,0.12808228702057176
2,Shijiazhuang,pm_only,recent24,pm,day1,0.41590471997618
2,Shijiazhuang,pm_only,recent24,weather,day1,0.08794588898647224
2,Shijiazhuang,pm_only,recent24,joint,day1,0.18677161219290303
2,Shijiazhuang,pm_only,recent24,pm,day3,0.04073698318424579
2,Shijiazhuang,pm_only,recent24,weather,day3,-0.04107646176911543
2,Shijiazhuang,pm_only,recent24,joint,day3,-0.03609683102420775
2,Shijiazhuang,pm_only,recent24,pm,full72,0.2596889509222377
2,Shijiazhuang,pm_only,recent24,weather,full72,0.017416823854205964
2,Shijiazhuang,pm_only,recent24,joint,full72,0.07384569346142336
2,Shijiazhuang,weather_only,recent24,pm,day1,0.12827799206949803
2,Shijiazhuang,weather_only,recent24,weather,day1,0.4242243835560959
2,Shijiazhuang,weather_only,recent24,joint,day1,0.41726862981715745
2,Shijiazhuang,weather_only,recent24,pm,day3,-0.02167467091866773
2,Shijiazhuang,weather_only,recent24,weather,day3,0.03981946445486611
2,Shijiazhuang,weather_only,recent24,joint,day3,0.029304388326097077
2,Shijiazhuang,weather_only,recent24,pm,full72,0.04226754906688727
2,Shijiazhuang,weather_only,recent24,weather,full72,0.23960268290067072
2,Shijiazhuang,weather_only,recent24,joint,full72,0.23237885659471413
2,Shijiazhuang,joint,recent24,pm,day1,0.2301235955308989
2,Shijiazhuang,joint,recent24,weather,day1,0.4110278812569703
2,Shijiazhuang,joint,recent24,joint,day1,0.43905315626328906
2,Shijiazhuang,joint,recent24,pm,day3,-0.015588809397202348
2,Shijiazhuang,joint,recent24,weather,day3,0.030626319156579786
2,Shijiazhuang,joint,recent24,joint,day3,0.0203984135996034
2,Shijiazhuang,joint,recent24,pm,full72,0.10969703742425935
2,Shijiazhuang,joint,recent24,weather,full72,0.2278695389673847
2,Shijiazhuang,joint,recent24,joint,full72,0.238156024039006
2,Shijiazhuang,pm_only,full72,pm,day1,0.2665675851418963
2,Shijiazhuang,pm_only,full72,weather,day1,0.04987876396969099
2,Shijiazhuang,pm_only,full72,joint,day1,0.11680902370225592
2,Shijiazhuang,pm_only,full72,pm,day3,0.03534487933621983
2,Shijiazhuang,pm_only,full72,weather,day3,-0.05483733470933367
2,Shijiazhuang,pm_only,full72,joint,day3,-0.053135309783827446
2,Shijiazhuang,pm_only,full72,pm,full72,0.19011769452942362
2,Shijiazhuang,pm_only,full72,weather,full72,-0.014298857074714268
2,Shijiazhuang,pm_only,full72,joint,full72,0.026606801151700287
2,Shijiazhuang,weather_only,full72,pm,day1,0.08107466026866506
2,Shijiazhuang,weather_only,full72,weather,day1,0.27422359155589787
2,Shijiazhuang,weather_only,full72,joint,day1,0.27006553351638335
2,Shijiazhuang,weather_only,full72,pm,day3,-0.038837234209308555
2,Shijiazhuang,weather_only,full72,weather,day3,0.043257067814266956
2,Shijiazhuang,weather_only,full72,joint,day3,0.028089019022254753
2,Shijiazhuang,weather_only,full72,pm,full72,-0.005828602457150614
2,Shijiazhuang,weather_only,full72,weather,full72,0.17092613623153405
