target_index,target,lead_hour,base_adjusted_r2,aligned_neighbor_r2_gain,unweighted_neighbor_r2_gain
22,Yangzhou,12,0.3405185034292548,-0.025427208846126814,0.0012287557422859807
22,Yangzhou,24,0.18430578068974712,-0.010034271450584997,-6.671208953512586e-05
23,Wuxi,3,0.7741646060678524,0.036009597665285664,0.024535644395394685
23,Wuxi,6,0.573913634695288,0.0425794235780248,0.0250531490096908
23,Wuxi,12,0.3687175534699457,0.016065393296026964,0.008272119438769154
23,Wuxi,24,0.21286378914915094,0.001403199167893554,0.00014922203546086088
24,Changzhou,3,0.7323397263181637,0.004068307651790448,0.0013723005561347978
24,Changzhou,6,0.5076986078894126,0.004882934469030875,0.002678757817506927
24,Changzhou,12,0.301871936163306,0.001462852457297048,0.0013724776708807784
24,Changzhou,24,0.16470921747876544,0.0004151781006631605,0.00015533340765871984
25,Zhenjiang,3,0.7583550035520764,0.007203898415798937,0.0025997866762982325
25,Zhenjiang,6,0.544856573914702,0.006938694264665979,0.0043091720792889365
25,Zhenjiang,12,0.3355123053803529,0.0013725592363615924,0.0025366154820514186
25,Zhenjiang,24,0.1870385482763699,-0.00048714414580064425,0.0001983219527798008
26,Taizhou,3,0.8011298096541593,0.0036628509392668818,0.005249372505849559
26,Taizhou,6,0.6369307860708739,0.012185874265535301,0.016455256351021075
26,Taizhou,12,0.45870628734434604,0.01960936444025485,0.023295811915301834
26,Taizhou,24,0.282221751536058,0.006399128444070534,0.00765393138712156
27,Huaian,3,0.7783660926992528,0.0282852587976401,0.010232680754616363
27,Huaian,6,0.571054887179063,0.0586364251460928,0.0223313615839158
27,Huaian,12,0.34233600178863766,0.04055157545729149,0.015244925907810014
27,Huaian,24,0.15796897522647557,0.00836387280860984,0.001612824518719469
28,Yancheng,3,0.7959719018051079,0.013360762094562162,0.006754880725023282
28,Yancheng,6,0.6022583171229623,0.03169681441288863,0.016762274668378208
28,Yancheng,12,0.3640062033191488,0.02969794398671366,0.017718023449306175
28,Yancheng,24,0.15867936950839068,0.00948834184201075,0.004618205487721738
29,Suqian,3,0.7360899216593595,0.03195092383206588,0.020614910391129282
29,Suqian,6,0.5264850531931582,0.05696585712502511,0.033800052597750985
29,Suqian,12,0.30320675950530374,0.034789255584601886,0.020528089422504503
29,Suqian,24,0.14128631475409603,0.005950821899344594,0.002633315726416674
30,Hangzhou,3,0.8168345330410108,0.018004018211835948,0.01160221056874755
30,Hangzhou,6,0.6183100579850276,0.03653348143148194,0.028099130329016342
30,Hangzhou,12,0.4013785367836248,0.03237091416006843,0.031274879332407135
30,Hangzhou,24,0.24168333109090334,0.010395375242286398,0.015433402108003147
31,Ningbo,3,0.7571669385202815,0.016457825713010577,0.014432084335308626
31,Ningbo,6,0.515390378731902,0.048939378395114974,0.03540189586516751
31,Ningbo,12,0.26670769724149523,0.05647743768480529,0.03749959664308489
31,Ningbo,24,0.14327541669798105,0.016680233194801497,0.006835144773056356
32,Shaoxing,3,0.6980231753275415,0.018199174341634317,0.013368907274431074
32,Shaoxing,6,0.490815456689789,0.03248255419137014,0.023853956971398582
32,Shaoxing,12,0.2912056127671855,0.03549948647428125,0.020984074507892747
32,Shaoxing,24,0.16342301821212757,0.009678414231733656,0.0027067561435176746
33,Huzhou,3,0.7726451285655896,0.02262844212701387,0.014417840866515985
33,Huzhou,6,0.5904477181595755,0.03825436377037672,0.026908975663605283
33,Huzhou,12,0.3921621834824546,0.028429677702038636,0.024218846711637876
33,Huzhou,24,0.2437241985979196,0.007926757224368086,0.007839161453943144
34,Jiaxing,3,0.7578051661373357,0.028285572423759175,0.024467215005359755
34,Jiaxing,6,0.5523685905972342,0.04516614663995422,0.04561586871033718
34,Jiaxing,12,0.3308023918095079,0.029309082765638594,0.036337566172340185
34,Jiaxing,24,0.17351150418204864,0.004465033950235453,0.009194242875815606
35,Jinhua,3,0.7575933748541043,0.02875177263763573,0.019141185946623396
35,Jinhua,6,0.5674559634257536,0.05667884452357308,0.03979485047283171
35,Jinhua,12,0.36142732748298445,0.04637713931895415,0.036437301442083014
35,Jinhua,24,0.21388297280475865,0.005602559001708252,0.004623832981221598
36,Quzhou,3,0.7813959162088009,0.02268073255387204,0.017950686547567485
