station_index,station,longitude,latitude,lead_hour,pm_history_adjusted_r2,past_weather_r2_gain,realized_future_weather_r2_gain
0,Beijing,116.39824999999998,40.045975000000006,3,0.8742565098716166,0.02618177926468912,0.02906095120881258
1,Tianjin,117.32216666666666,39.07768333333333,3,0.8075476449315785,0.041278494177358405,0.03672684962843187
2,Shijiazhuang,114.49317142857144,38.033628571428565,3,0.8286855083617146,0.02966970745202069,0.02437900885271005
3,Tangshan,118.18291666666666,39.64495333333334,3,0.7816148786060092,0.03801344041770571,0.034006837215409313
4,Qinhuangdao,119.606875,39.936249999999994,3,0.8096995972007552,0.03152747029198577,0.03310115374696698
5,Handan,114.51387499999998,36.607859999999995,3,0.7565155206795036,0.029777163434336895,0.02926146658249751
6,Baoding,115.4852,38.876266666666666,3,0.7935191584260113,0.032815195121773666,0.03152938218768786
7,Zhangjiakou,114.90084999999999,40.80275,3,0.6416602810472313,0.04579330488310451,0.038733699116680564
8,Chengde,117.92774,40.96416,3,0.7842654723451952,0.032993215344717,0.02932282925441554
9,Langfang,116.7151,39.52605,3,0.7917582959678922,0.040772687832734356,0.03892465569893688
10,Cangzhou,116.87156666666668,38.31576666666667,3,0.7474755422635269,0.03896712551361636,0.03790642705022984
11,Hengshui,115.6761,37.744800000000005,3,0.7548630006794405,0.03649571226451154,0.031684330229341584
12,Xingtai,114.506675,37.0771,3,0.7764290847678881,0.028144456914884985,0.02688175878833221
13,Taiyuan,112.50899999999999,37.8489,3,0.7309309111717968,0.03666307801814517,0.04183915121003179
14,Huhehaote,111.66738571428571,40.80768571428571,3,0.7612205510830112,0.04477669895789138,0.04632485944760567
15,Dalian,121.62808148888888,38.95904567888889,3,0.7971665670699378,0.02343794249968212,0.023099158114750384
16,Shanghai,121.45294433333333,31.210789000000002,3,0.8310715982317732,0.019681751998961494,0.020081637625398607
17,Nanjing,118.77449999999999,32.0488,3,0.7673684660656717,0.016128603263328545,0.015408927488747226
18,Suzhou,119.52117999999999,32.002930000000006,3,0.8000099247375714,0.016590664202451144,0.016434296533494486
19,Nantong,120.8786,31.99044,3,0.7535975526449596,0.02536695055622129,0.027884770002441606
20,Lianyungang,119.176,34.5885,3,0.6786053195672583,0.03231562454335013,0.035617119409553144
21,Xuzhou,117.23046000000002,34.260400000000004,3,0.7643966541223186,0.020852701145487762,0.021018229116384846
22,Yangzhou,119.3965,32.39305,3,0.7201267296082439,0.023027840777374298,0.023146786315483947
23,Wuxi,120.28957142857143,31.570185714285714,3,0.7684546206124492,0.02279754435387127,0.02089977420182798
24,Changzhou,119.94533333333334,31.7911,3,0.7264493235618916,0.023029042927544374,0.02907785552105613
25,Zhenjiang,119.53366666666666,32.1784,3,0.7514907274165337,0.020331071730047,0.023217203303060097
26,Taizhou,120.62981666666667,30.54818333333333,3,0.7966107391966362,0.008880403029560502,0.01139950437539139
27,Huaian,119.03584000000001,33.58214,3,0.7740785583392178,0.020644124467997016,0.024236309876619955
28,Yancheng,120.16633333333334,33.39703333333333,3,0.793021955418154,0.020083591245509624,0.022851922072696373
29,Suqian,118.3072,33.9517,3,0.7303033865459432,0.024081457270177964,0.02392961518591652
30,Hangzhou,120.0819090909091,30.21117272727272,3,0.8126648308762866,0.013511102398962027,0.016064475578252302
31,Ningbo,121.62942857142858,29.866699999999998,3,0.7546440648341428,0.018161605319392593,0.021921428164322188
32,Shaoxing,120.605,29.9919,3,0.6940822516790472,0.01869364653471428,0.01962545320690312
33,Huzhou,120.07,30.8244,3,0.7632208968426233,0.012453555006691985,0.014048590456284593
34,Jiaxing,120.735,30.7712,3,0.753885915679628,0.018526130733112933,0.02257881931774186
35,Jinhua,119.66650000000001,29.08995,3,0.752191980250494,0.015600460793132265,0.014959216121897545
36,Quzhou,118.86566666666668,28.960433333333338,3,0.777014644776655,0.014912999316413433,0.013902077519985179
37,Lishui,119.90766666666666,28.444366666666667,3,0.7345317230521473,0.013831932248804635,0.011775029182498398
38,Hefei,117.24780000000001,31.848240000000004,3,0.7930927331714077,0.010562652594970356,0.01205179032629089
39,Nanchang,115.873075,28.702825,3,0.8157498613425229,0.010203700400846616,0.008528965451917836
40,Jinan,117.00885,36.6576,3,0.7737866951256528,0.027099418237129025,0.022724597271153057
41,Qingdao,120.36067142857142,36.14881428571428,3,0.7952616684749758,0.023585119442082858,0.02226439097765165
42,Zhengzhou,113.66537142857143,34.760628571428576,3,0.8059244957417897,0.019735704988766978,0.018764478959071518
43,Wuhan,114.2870125,30.5767625,3,0.8318133778692074,0.00994315184195771,0.011318798906182814
44,Zhangsha,112.98362999999999,28.205220000000004,3,0.846061797086093,0.007408463407449495,0.009723569545285082
45,Zhongqing,106.50192307692306,29.617815384615387,3,0.9064130993394456,0.00850800345041458,0.008945634852757123
46,Chengdou,104.002,30.715500000000002,3,0.8223115809089268,0.017419927651752376,0.018274026153026868
47,Xian,108.99450909090909,34.30269090909091,3,0.8534164469800597,0.013929025572409603,0.014541143559794967
48,Lanzhou,103.86275,36.0405,3,0.6884705413847378,0.02410441752350012,0.020021517518035936
49,Yinchuan,106.1066,38.53423333333333,3,0.6740339892362432,0.029854901684542856,0.016446436268162223
50,Baotou,109.90826666666668,40.627783333333326,3,0.7291117434846366,0.04440292826241421,0.03234311534563694
51,Eerduosi,109.90195999999999,39.72498,3,0.7391860770157861,0.021896314566783648,0.019480468321791178
52,Huludao,120.864825,40.7384,3,0.7147655482932356,0.03216099210392187,0.04009870781235603
53,Laiwu,117.6789,36.2289,3,0.7155983423225178,0.030676951439196465,0.026592265286643046
54,Linyi,118.3286,35.04769999999999,3,0.810125554960155,0.023047326997056805,0.025887397724338568
55,Liaocheng,115.98415,36.4584,3,0.7472252167862075,0.03435195219631937,0.029160383180436344
56,Binzhou,117.9952,37.37833333333333,3,0.7437258125008794,0.044113857651333466,0.03606081988253429
57,Zibo,118.02022000000002,36.75354,3,0.8147441995473688,0.028812077662572988,0.026238490784545987
58,Zaozhuang,117.51355000000001,34.806025,3,0.7831663693029474,0.030431628907702235,0.026399480831662325
59,Yantai,121.36026666666667,37.5074,3,0.7602130430271786,0.029327975078141777,0.031287363211424
60,Weifang,119.15213333333332,36.72526666666667,3,0.70954991208994,0.03948906968161725,0.035646710488006494
61,Jining,116.59023333333333,35.41543333333333,3,0.8143823730762471,0.01728434714839744,0.016206620398832583
62,Taian,117.11326666666666,36.188066666666664,3,0.7797950591842137,0.024633222946783717,0.025119227537791722
63,Rizhao,119.49195,35.4206,3,0.7427417127336786,0.027840773577681333,0.025441201039010375
64,Dongying,118.5019,37.4658,3,0.6839880222086399,0.04745731384140839,0.0444345479705297
65,Heze,115.45083066666666,35.25212966666667,3,0.7453326297641198,0.02606928781622231,0.022220139071069234
66,Datong,113.31258,40.097699999999996,3,0.7270171799391509,0.05370715822828642,0.042426708667713364
