lead_hour,pm_history_median,pm_history_q25,pm_history_q75,pm_history_n,past_weather_gain_median,past_weather_gain_q25,past_weather_gain_q75,past_weather_gain_n,future_weather_gain_median,future_weather_gain_q25,future_weather_gain_q75,future_weather_gain_n
3,0.7604806647813063,0.7213205015751616,0.7974976113786083,184,0.019956465706989945,0.014836993652789926,0.029796597996888385,184,0.01955296076434715,0.013576645973324503,0.02569891274952013,184
24,0.16713720841116275,0.1198352957367215,0.21884441705434463,184,0.09064030998788852,0.07430024101116112,0.10713053709701326,184,0.14764527284225953,0.11452496546998522,0.2029121079631519,184
48,0.035294446447177164,0.019723486887000763,0.06527736295746589,184,0.05622205849324885,0.044657407353975165,0.07108431542551069,184,0.19453936570177494,0.14711486928619666,0.2481690942017689,184
72,0.010006367564202479,0.004274514039462413,0.028895557802682215,184,0.04547477686545459,0.034918264451160114,0.061852473367094596,184,0.2064961112392552,0.1603813466715001,0.2604296813361073,184
